Arrive Or Depart,Schedule,Airline,Flight Number,Gate,Terminal
D,1/13/2018 12:30:00 PM,Southwest Airlines,4164,C7,4
D,1/13/2018 12:30:00 PM,Southwest Airlines,4240,C18,4
A,1/13/2018 12:34:00 PM,American Airlines,3154,B21,4
A,1/13/2018 12:35:00 PM,American Airlines,5895,B15A,4
A,1/13/2018 12:35:00 PM,Southwest Airlines,2493,D1,4
D,1/13/2018 12:36:00 PM,United Airlines,1209,6A,2
A,1/13/2018 12:37:00 PM,American Airlines,3002,B20,4
A,1/13/2018 12:38:00 PM,Alaska Airlines,644,10,2
A,1/13/2018 12:39:00 PM,American Airlines,2994,B3,4
D,1/12/2018 10:55:00 AM,American Airlines,493,B8,4
D,1/13/2018 12:40:00 PM,Southwest Airlines,5752,D4,4
A,1/13/2018 12:40:00 PM,American Airlines,613,A7,4
A,1/13/2018 12:40:00 PM,American Airlines,5930,B16,4
A,1/13/2018 12:40:00 PM,Spirit Airlines,345,2,2
D,1/13/2018 12:45:00 PM,Southwest Airlines,2206,C6,4
D,1/13/2018 12:45:00 PM,Southwest Airlines,4128,C1,4
A,1/13/2018 12:45:00 PM,American Airlines,1951,A18,4
A,1/13/2018 12:45:00 PM,Southwest Airlines,2673,C13,4
A,1/13/2018 12:48:00 PM,American Airlines,2047,B12,4
D,1/13/2018 12:50:00 PM,Southwest Airlines,3048,C17,4
D,1/13/2018 12:50:00 PM,Southwest Airlines,4208,D7,4
A,1/13/2018 12:50:00 PM,Southwest Airlines,3547,D6,4
D,1/12/2018 11:44:00 AM,American Airlines,493,B8,4
A,1/13/2018 12:55:00 PM,Southwest Airlines,3471,C19,4
A,1/13/2018 12:56:00 PM,WestJet,1402,B27,4
A,1/13/2018 12:57:00 PM,Great Lakes Airlines,3036,9,2
A,1/13/2018 12:59:00 PM,American Airlines,2013,B4,4
A,1/13/2018 12:59:00 PM,American Airlines,5925,B17,4
D,1/13/2018 1:00:00 PM,Delta Air Lines,1921,19,3
D,1/13/2018 1:00:00 PM,Southwest Airlines,2961,C4,4
A,1/13/2018 1:00:00 PM,Air Canada,1840,B25,4
D,1/13/2018 1:00:00 PM,Southwest Airlines,1941,D8,4
A,1/13/2018 1:02:00 PM,American Airlines,1271,A3,4
A,1/13/2018 1:03:00 PM,Alaska Airlines,656,11,2
D,1/12/2018 10:55:00 AM,American Airlines,493,B8,4
A,1/13/2018 1:09:00 PM,WestJet,1770,B28,4
D,1/13/2018 1:10:00 PM,American Airlines,208,A25,4
D,1/13/2018 1:10:00 PM,American Airlines,1986,A19,4
D,1/13/2018 1:10:00 PM,American Airlines,1785,A21,4
D,1/13/2018 1:10:00 PM,American Airlines,2527,B14,4
D,1/13/2018 1:10:00 PM,American Airlines,5902,B2,4
A,1/13/2018 1:10:00 PM,Southwest Airlines,3163,C19,4
A,1/13/2018 1:13:00 PM,Delta Air Lines,2451,15,3
D,1/13/2018 1:15:00 PM,Southwest Airlines,2493,C8,4
A,1/13/2018 1:15:00 PM,Southwest Airlines,4291,D2,4
D,1/12/2018 10:55:00 AM,American Airlines,493,B8,4
A,1/12/2018 4:59:00 PM,Southwest Airlines,9026,,4
D,1/12/2018 10:55:00 AM,American Airlines,493,B8,4
D,1/13/2018 1:16:00 PM,American Airlines,1777,A7,4
D,1/13/2018 1:20:00 PM,American Airlines,674,A6,4
D,1/13/2018 1:20:00 PM,American Airlines,3055,B21,4
D,1/13/2018 1:20:00 PM,Air Canada,1836,B23,4
D,1/13/2018 1:28:00 PM,American Airlines,1773,A22,4
A,1/13/2018 1:28:00 PM,American Airlines,413,A12,4
A,1/13/2018 1:29:00 PM,American Airlines,638,A14,4
D,1/13/2018 1:30:00 PM,American Airlines,511,A2,4
D,1/13/2018 1:30:00 PM,American Airlines,776,A30,4
D,1/13/2018 1:30:00 PM,American Airlines,1888,B12,4
D,1/13/2018 1:30:00 PM,American Airlines,1978,A12,4
D,1/13/2018 1:30:00 PM,American Airlines,3074,B20,4
D,1/13/2018 1:30:00 PM,Southwest Airlines,3547,D6,4
A,1/13/2018 1:30:00 PM,Southwest Airlines,4364,C7,4
A,1/13/2018 1:30:00 PM,Southwest Airlines,4206,C1,4
A,1/12/2018 4:59:00 PM,Southwest Airlines,9026,HB1,4
D,1/13/2018 1:32:00 PM,Spirit Airlines,342,2,2
A,1/13/2018 1:33:00 PM,Delta Air Lines,5854,16,3
A,1/13/2018 1:33:00 PM,United Airlines,739,5,2
D,1/13/2018 1:35:00 PM,American Airlines,1943,A29,4
D,1/13/2018 1:35:00 PM,American Airlines,5875,B19,4
D,1/13/2018 1:35:00 PM,Southwest Airlines,3471,D3,4
A,1/13/2018 1:35:00 PM,American Airlines,2602,A23,4
A,1/13/2018 1:35:00 PM,Southwest Airlines,3696,C6,4
D,1/13/2018 1:36:00 PM,American Airlines,5912,B16,4
A,1/13/2018 1:36:00 PM,American Airlines,2004,A5,4
D,1/12/2018 11:44:00 AM,American Airlines,493,B8,4
D,1/12/2018 10:55:00 AM,American Airlines,493,B8,4
A,1/12/2018 6:46:00 PM,Air Canada,7084,1,4
D,1/13/2018 1:39:00 PM,Alaska Airlines,659,10,2
D,1/13/2018 1:40:00 PM,American Airlines,2047,A11,4
A,1/13/2018 1:43:00 PM,American Airlines,2548,B6,4
A,1/13/2018 1:44:00 PM,American Airlines,2974,B16,4
A,1/13/2018 1:44:00 PM,American Airlines,5785,B2,4
A,1/13/2018 1:44:00 PM,Delta Air Lines,1772,23,3
D,1/13/2018 1:45:00 PM,American Airlines,5712,B15A,4
A,1/13/2018 1:45:00 PM,American Airlines,3040,B3,4
A,1/13/2018 1:45:00 PM,Southwest Airlines,2833,D8,4
A,1/13/2018 1:48:00 PM,American Airlines,478,A4,4
A,1/13/2018 1:48:00 PM,American Airlines,1155,A25,4
A,1/13/2018 1:49:00 PM,American Airlines,5892,A1,4
A,1/13/2018 1:49:00 PM,American Airlines,5832,B9,4
D,1/13/2018 1:50:00 PM,American Airlines,410,B4,4
D,1/13/2018 1:50:00 PM,WestJet,1403,B27,4
A,1/13/2018 1:50:00 PM,Southwest Airlines,2309,C2,4
A,1/13/2018 1:52:00 PM,American Airlines,549,A30,4
D,1/13/2018 1:55:00 PM,American Airlines,1154,A3,4
D,1/13/2018 1:55:00 PM,Southwest Airlines,2676,C13,4
D,1/13/2018 1:55:00 PM,Southwest Airlines,3163,C19,4
D,1/13/2018 1:55:00 PM,Southwest Airlines,4291,D2,4
A,1/13/2018 1:55:00 PM,American Airlines,835,A9,4
D,1/13/2018 1:56:00 PM,American Airlines,680,A18,4
A,1/13/2018 1:57:00 PM,American Airlines,2617,B14,4
A,1/13/2018 1:57:00 PM,American Airlines,3133,B1A,4
A,1/13/2018 1:57:00 PM,American Airlines,3190,B1,4
A,1/13/2018 1:58:00 PM,American Airlines,5840,B16,4
A,1/13/2018 1:58:00 PM,American Airlines,1925,B4,4
A,1/13/2018 1:59:00 PM,American Airlines,6004,A1,4
A,1/13/2018 1:59:00 PM,American Airlines,679,A21,4
D,1/12/2018 11:44:00 AM,American Airlines,493,B8,4
D,1/13/2018 2:00:00 PM,WestJet,1771,B28,4
A,1/13/2018 2:00:00 PM,American Airlines,5906,B21,4
A,1/13/2018 2:00:00 PM,American Airlines,5757,B5,4
D,1/13/2018 2:00:00 PM,Southwest Airlines,3842,,4
D,1/13/2018 2:05:00 PM,Delta Air Lines,5854,16,3
A,1/13/2018 2:05:00 PM,American Airlines,3079,B18,4
A,1/13/2018 2:05:00 PM,Southwest Airlines,2434,C18,4
D,1/13/2018 2:10:00 PM,Southwest Airlines,6136,C1,4
A,1/13/2018 2:10:00 PM,Southwest Airlines,4137,C17,4
A,1/13/2018 2:11:00 PM,United Airlines,1859,3,2
A,1/13/2018 2:14:00 PM,American Airlines,1826,A17,4
D,1/13/2018 2:15:00 PM,Air Canada,1841,B25,4
D,1/13/2018 2:15:00 PM,Delta Air Lines,2451,15,3
D,1/13/2018 2:15:00 PM,Southwest Airlines,3696,C6,4
D,1/13/2018 2:15:00 PM,Southwest Airlines,4364,C7,4
A,1/13/2018 2:15:00 PM,Southwest Airlines,3740,C11,4
D,1/13/2018 2:18:00 PM,Alaska Airlines,581,11,2
A,1/13/2018 2:19:00 PM,American Airlines,5901,B22,4
A,1/13/2018 2:25:00 PM,Southwest Airlines,3017,C4,4
D,1/13/2018 2:26:00 PM,American Airlines,413,B26,4
D,1/13/2018 2:30:00 PM,American Airlines,638,A14,4
D,1/13/2018 2:30:00 PM,American Airlines,3040,B3,4
D,1/13/2018 2:30:00 PM,American Airlines,2974,B16,4
D,1/13/2018 2:30:00 PM,Southwest Airlines,2309,C2,4
D,1/13/2018 2:30:00 PM,Great Lakes Airlines,3032,9,2
A,1/13/2018 2:30:00 PM,Southwest Airlines,3412,D4,4
D,1/13/2018 2:35:00 PM,Southwest Airlines,2833,D8,4
D,1/13/2018 2:36:00 PM,United Airlines,2135,5,2
D,1/13/2018 2:40:00 PM,American Airlines,495,A8,4
D,1/13/2018 2:40:00 PM,American Airlines,5755,A1,4
D,1/13/2018 2:40:00 PM,Delta Air Lines,1772,23,3
D,1/13/2018 2:43:00 PM,Delta Air Lines,1629,17,3
D,1/13/2018 2:45:00 PM,American Airlines,510,A20,4
D,1/13/2018 2:45:00 PM,American Airlines,5812,B9,4
D,1/13/2018 2:45:00 PM,American Airlines,5944,A1,4
D,1/13/2018 2:45:00 PM,Southwest Airlines,2434,C18,4
A,1/13/2018 2:45:00 PM,Southwest Airlines,4190,C19,4
D,1/13/2018 2:48:00 PM,American Airlines,2993,B16,4
D,1/13/2018 2:50:00 PM,American Airlines,835,A4,4
D,1/13/2018 2:50:00 PM,American Airlines,2602,B6,4
D,1/13/2018 2:50:00 PM,American Airlines,2989,B18,4
D,1/13/2018 2:50:00 PM,American Airlines,3109,B1,4
D,1/13/2018 2:50:00 PM,Southwest Airlines,4137,C17,4
D,1/13/2018 2:55:00 PM,American Airlines,2548,A27,4
D,1/13/2018 2:55:00 PM,American Airlines,5959,B21,4
D,1/13/2018 2:55:00 PM,Southwest Airlines,5628,C11,4
A,1/13/2018 2:55:00 PM,American Airlines,623,A3,4
A,1/13/2018 2:55:00 PM,Southwest Airlines,3620,C8,4
D,1/13/2018 2:56:00 PM,American Airlines,5793,B22,4
A,1/13/2018 2:56:00 PM,American Airlines,3140,B3,4
A,1/13/2018 2:57:00 PM,American Airlines,533,B27,4
D,1/13/2018 3:00:00 PM,American Airlines,778,A5,4
D,1/13/2018 3:00:00 PM,American Airlines,5790,B2,4
A,1/13/2018 3:00:00 PM,American Airlines,5838,B1,4
A,1/13/2018 3:03:00 PM,American Airlines,1977,A2,4
A,1/13/2018 3:04:00 PM,American Airlines,1455,A7,4
D,1/13/2018 3:05:00 PM,American Airlines,478,A17,4
D,1/13/2018 3:05:00 PM,American Airlines,639,A21,4
D,1/13/2018 3:05:00 PM,American Airlines,1878,B4,4
A,1/13/2018 3:09:00 PM,United Airlines,607,7,2
D,1/13/2018 3:10:00 PM,American Airlines,1826,A9,4
D,1/13/2018 3:10:00 PM,American Airlines,672,A24,4
D,1/13/2018 3:10:00 PM,American Airlines,1618,B14,4
D,1/13/2018 3:10:00 PM,American Airlines,5907,B17,4
D,1/13/2018 3:10:00 PM,Southwest Airlines,3017,C4,4
A,1/13/2018 3:10:00 PM,Southwest Airlines,2536,D7,4
D,1/13/2018 3:15:00 PM,Southwest Airlines,3412,D4,4
A,1/13/2018 3:15:00 PM,American Airlines,5935,B21,4
A,1/13/2018 3:15:00 PM,Southwest Airlines,3897,C7,4
A,1/13/2018 3:16:00 PM,American Airlines,793,A6,4
A,1/13/2018 3:20:00 PM,Southwest Airlines,2825,C6,4
D,1/13/2018 3:21:00 PM,United Airlines,235,3,2
A,1/13/2018 3:23:00 PM,American Airlines,1214,A14,4
A,1/13/2018 3:23:00 PM,American Airlines,5979,B18,4
D,1/13/2018 3:25:00 PM,American Airlines,603,A30,4
A,1/13/2018 3:25:00 PM,American Airlines,5910,B2,4
A,1/13/2018 3:27:00 PM,American Airlines,500,A17,4
A,1/13/2018 3:27:00 PM,American Airlines,1792,A29,4
A,1/13/2018 3:28:00 PM,American Airlines,634,A4,4
A,1/13/2018 3:28:00 PM,Delta Air Lines,1805,19,3
A,1/13/2018 3:29:00 PM,American Airlines,985,A11,4
D,1/13/2018 3:35:00 PM,Southwest Airlines,3620,C8,4
A,1/13/2018 3:35:00 PM,Southwest Airlines,3242,C18,4
A,1/13/2018 3:35:00 PM,Southwest Airlines,3296,D2,4
A,1/13/2018 3:38:00 PM,American Airlines,628,A19,4
A,1/13/2018 3:40:00 PM,Southwest Airlines,2653,C3,4
D,1/13/2018 3:45:00 PM,Southwest Airlines,2538,D7,4
A,1/13/2018 3:45:00 PM,American Airlines,429,A26,4
A,1/13/2018 3:45:00 PM,American Airlines,3030,B20,4
A,1/13/2018 3:45:00 PM,American Airlines,1469,A18,4
A,1/13/2018 3:45:00 PM,Southwest Airlines,4180,C11,4
A,1/13/2018 3:45:00 PM,Southwest Airlines,3423,D6,4
A,1/13/2018 3:45:00 PM,Southwest Airlines,2328,D3,4
A,1/13/2018 3:47:00 PM,American Airlines,2992,B16,4
D,1/13/2018 3:48:00 PM,United Airlines,1419,6B,2
A,1/13/2018 3:49:00 PM,American Airlines,5931,B19,4
D,1/13/2018 3:50:00 PM,American Airlines,623,B27,4
A,1/13/2018 3:50:00 PM,Southwest Airlines,3046,D8,4
D,1/13/2018 3:55:00 PM,American Airlines,1471,A23,4
D,1/13/2018 3:55:00 PM,American Airlines,3176,B20,4
D,1/13/2018 3:55:00 PM,Southwest Airlines,3897,C7,4
A,1/13/2018 3:55:00 PM,Southwest Airlines,4789,C17,4
A,1/13/2018 3:58:00 PM,American Airlines,2973,B3,4
D,1/13/2018 4:00:00 PM,Southwest Airlines,2822,C6,4
A,1/13/2018 4:00:00 PM,Southwest Airlines,4687,C2,4
D,1/13/2018 4:06:00 PM,United Airlines,1755,7,2
D,1/13/2018 4:10:00 PM,Southwest Airlines,4191,C19,4
D,1/13/2018 4:15:00 PM,American Airlines,551,A3,4
D,1/13/2018 4:15:00 PM,American Airlines,5843,B16,4
D,1/13/2018 4:15:00 PM,American Airlines,5928,B18,4
D,1/13/2018 4:15:00 PM,Southwest Airlines,2589,C18,4
A,1/13/2018 4:17:00 PM,American Airlines,571,B28,4
A,1/9/2018 12:26:00 PM,WestJet,1198,B26,4
A,1/9/2018 12:27:00 PM,American Airlines,600,A3,4
A,1/9/2018 12:28:00 PM,American Airlines,594,B6,4
A,1/9/2018 12:29:00 PM,American Airlines,1380,A14,4
D,1/9/2018 12:30:00 PM,Southwest Airlines,164,C3,4
D,1/9/2018 12:30:00 PM,Southwest Airlines,1896,D8,4
A,1/9/2018 12:34:00 PM,American Airlines,3154,B21,4
A,1/9/2018 12:35:00 PM,American Airlines,5895,A1,4
A,1/9/2018 12:35:00 PM,Southwest Airlines,753,C16,4
D,1/9/2018 12:35:00 PM,Southwest Airlines,687,D4,4
D,1/9/2018 12:35:00 PM,Southwest Airlines,972,C14,4
D,1/9/2018 12:36:00 PM,United Airlines,1209,6B,2
A,1/9/2018 12:37:00 PM,American Airlines,3002,B16,4
A,1/9/2018 12:38:00 PM,Alaska Airlines,644,10,2
A,1/9/2018 12:39:00 PM,American Airlines,2994,B1A,4
A,1/9/2018 12:39:00 PM,Spirit Airlines,345,2,2
A,1/9/2018 12:40:00 PM,American Airlines,5930,B1,4
A,1/9/2018 12:45:00 PM,American Airlines,1951,A5,4
A,1/9/2018 12:45:00 PM,Southwest Airlines,301,C6,4
D,1/9/2018 12:45:00 PM,Southwest Airlines,5475,D5,4
D,1/9/2018 12:45:00 PM,Southwest Airlines,5624,C17,4
D,1/9/2018 12:47:00 PM,Delta Air Lines,1172,16,3
A,1/9/2018 12:50:00 PM,Sun Country Airlines,601,1,2
D,1/9/2018 12:50:00 PM,Southwest Airlines,760,D3,4
A,1/9/2018 12:55:00 PM,Southwest Airlines,2112,C11,4
D,1/9/2018 12:55:00 PM,Southwest Airlines,1390,C8,4
A,1/9/2018 12:56:00 PM,WestJet,1402,B28,4
A,1/9/2018 12:57:00 PM,Great Lakes Airlines,3036,9,2
A,1/9/2018 1:00:00 PM,Air Canada,1840,B25,4
A,1/9/2018 1:00:00 PM,Southwest Airlines,6956,C1,4
D,1/9/2018 1:00:00 PM,Delta Air Lines,1921,19,3
D,1/9/2018 1:00:00 PM,Southwest Airlines,806,D7,4
A,1/9/2018 1:02:00 PM,American Airlines,1271,A12,4
A,1/9/2018 1:03:00 PM,Alaska Airlines,656,11,2
D,1/9/2018 1:05:00 PM,Delta Air Lines,1799,17,3
D,1/9/2018 1:05:00 PM,Southwest Airlines,852,C7,4
A,1/9/2018 1:09:00 PM,American Airlines,3155,B19,4
A,1/9/2018 1:09:00 PM,WestJet,1770,B27,4
D,1/9/2018 1:10:00 PM,American Airlines,1986,A23,4
D,1/9/2018 1:10:00 PM,American Airlines,1785,B6,4
D,1/9/2018 1:10:00 PM,American Airlines,2527,B4,4
D,1/9/2018 1:10:00 PM,American Airlines,208,B14,4
D,1/9/2018 1:15:00 PM,WestJet,1199,B26,4
D,1/9/2018 1:15:00 PM,Southwest Airlines,753,C16,4
A,1/9/2018 1:19:00 PM,Delta Air Lines,1772,23,3
D,1/9/2018 1:20:00 PM,Air Canada,1836,B23,4
A,1/9/2018 1:20:00 PM,American Airlines,603,A27,4
A,1/9/2018 1:20:00 PM,Southwest Airlines,873,C18,4
D,1/9/2018 1:20:00 PM,American Airlines,871,A17,4
D,1/9/2018 1:20:00 PM,American Airlines,3052,B16,4
D,1/9/2018 1:20:00 PM,American Airlines,3055,B21,4
A,1/9/2018 1:28:00 PM,American Airlines,413,A8,4
D,1/9/2018 1:28:00 PM,American Airlines,1773,A21,4
A,1/9/2018 1:29:00 PM,American Airlines,638,A6,4
D,1/9/2018 1:30:00 PM,American Airlines,579,A10,4
D,1/9/2018 1:30:00 PM,American Airlines,776,A30,4
D,1/9/2018 1:30:00 PM,American Airlines,1100,A14,4
D,1/9/2018 1:30:00 PM,American Airlines,5712,A1,4
D,1/9/2018 1:30:00 PM,Southwest Airlines,301,C6,4
D,1/9/2018 1:30:00 PM,Great Lakes Airlines,3032,9,2
A,1/9/2018 1:31:00 PM,Delta Air Lines,743,18,3
A,1/9/2018 1:33:00 PM,United Airlines,739,3,2
A,1/9/2018 1:34:00 PM,Delta Air Lines,5854,15,3
A,1/9/2018 1:35:00 PM,American Airlines,2602,B14,4
A,1/9/2018 1:35:00 PM,Southwest Airlines,259,D2,4
A,1/9/2018 1:35:00 PM,Southwest Airlines,47,C6,4
D,1/9/2018 1:35:00 PM,American Airlines,1943,A20,4
D,1/9/2018 1:35:00 PM,American Airlines,594,A4,4
D,1/9/2018 1:35:00 PM,Spirit Airlines,342,2,2
A,1/9/2018 1:35:00 PM,Southwest Airlines,793,C17,4
A,1/9/2018 1:36:00 PM,American Airlines,2004,A19,4
D,1/9/2018 1:36:00 PM,American Airlines,5912,B1,4
D,1/9/2018 1:37:00 PM,American Airlines,689,A27,4
D,1/9/2018 1:39:00 PM,Alaska Airlines,659,10,2
A,1/9/2018 1:40:00 PM,Southwest Airlines,285,D5,4
D,1/9/2018 1:40:00 PM,American Airlines,2047,A9,4
A,1/9/2018 1:43:00 PM,American Airlines,2548,A17,4
A,1/9/2018 1:44:00 PM,American Airlines,2974,B20,4
A,1/9/2018 1:44:00 PM,American Airlines,5785,B16,4
D,1/9/2018 1:45:00 PM,Sun Country Airlines,602,1,2
A,1/9/2018 1:45:00 PM,American Airlines,3040,B3,4
A,1/9/2018 1:45:00 PM,Southwest Airlines,5881,D6,4
A,1/9/2018 1:48:00 PM,American Airlines,1714,A2,4
A,1/9/2018 1:48:00 PM,American Airlines,478,A10,4
A,1/9/2018 1:48:00 PM,American Airlines,1155,A23,4
A,1/9/2018 1:49:00 PM,American Airlines,5892,B9,4
A,1/9/2018 1:49:00 PM,American Airlines,5832,A1,4
D,1/9/2018 1:50:00 PM,WestJet,1403,B28,4
A,1/9/2018 1:50:00 PM,Southwest Airlines,206,D3,4
A,1/9/2018 1:52:00 PM,Volaris,878,B26,4
A,1/9/2018 1:53:00 PM,American Airlines,549,A30,4
A,1/9/2018 1:55:00 PM,American Airlines,835,A4,4
A,1/9/2018 1:55:00 PM,Southwest Airlines,5926,C3,4
D,1/9/2018 1:55:00 PM,American Airlines,1154,A12,4
D,1/9/2018 1:56:00 PM,American Airlines,680,A5,4
A,1/9/2018 1:57:00 PM,American Airlines,2617,A12,4
A,1/9/2018 1:57:00 PM,American Airlines,3133,B15B,4
A,1/9/2018 1:57:00 PM,American Airlines,3190,B18,4
A,1/9/2018 1:58:00 PM,American Airlines,1925,A9,4
A,1/9/2018 1:58:00 PM,American Airlines,5840,B2,4
A,1/9/2018 1:59:00 PM,American Airlines,6004,B7,4
A,1/9/2018 1:59:00 PM,American Airlines,679,A20,4
D,1/9/2018 2:00:00 PM,WestJet,1771,B27,4
A,1/9/2018 2:00:00 PM,American Airlines,5906,B1,4
A,1/9/2018 2:00:00 PM,American Airlines,5757,B5,4
A,1/9/2018 2:00:00 PM,Southwest Airlines,444,D6,4
A,1/9/2018 2:00:00 PM,Southwest Airlines,1961,D7,4
D,1/9/2018 2:00:00 PM,Southwest Airlines,2020,C9,4
D,1/9/2018 2:00:00 PM,Southwest Airlines,2216,C11,4
A,1/9/2018 2:05:00 PM,Southwest Airlines,591,D3,4
D,1/9/2018 2:05:00 PM,Delta Air Lines,5854,15,3
A,1/9/2018 2:10:00 PM,Southwest Airlines,6118,D4,4
D,1/9/2018 2:10:00 PM,Southwest Airlines,1838,C18,4
D,1/9/2018 2:10:00 PM,Southwest Airlines,47,C8,4
A,1/9/2018 2:11:00 PM,United Airlines,1859,6B,2
A,1/9/2018 2:14:00 PM,American Airlines,1826,B4,4
D,1/12/2018 2:45:00 PM,American Airlines,5944,B18,4
D,1/12/2018 2:45:00 PM,Southwest Airlines,444,C18,4
D,1/12/2018 2:48:00 PM,American Airlines,2993,B1A,4
D,1/12/2018 2:50:00 PM,American Airlines,835,A6,4
D,1/12/2018 2:50:00 PM,American Airlines,2602,B14,4
D,1/12/2018 2:50:00 PM,American Airlines,492,A22,4
D,1/12/2018 2:50:00 PM,American Airlines,2989,B15A,4
D,1/12/2018 2:50:00 PM,American Airlines,3109,B1,4
D,1/12/2018 2:50:00 PM,Southwest Airlines,6028,C6,4
D,1/12/2018 2:50:00 PM,Southwest Airlines,6118,D4,4
D,1/12/2018 2:50:00 PM,Southwest Airlines,1961,D7,4
D,1/12/2018 2:55:00 PM,American Airlines,5959,B21,4
D,1/12/2018 2:55:00 PM,American Airlines,2548,A27,4
D,1/12/2018 2:55:00 PM,Southwest Airlines,5978,C9,4
D,1/12/2018 2:55:00 PM,Southwest Airlines,591,C4,4
A,1/12/2018 2:55:00 PM,American Airlines,623,A21,4
D,1/12/2018 2:56:00 PM,American Airlines,5793,B5,4
A,1/12/2018 2:56:00 PM,American Airlines,3140,B3,4
A,1/12/2018 2:57:00 PM,Great Lakes Airlines,3032,9,2
D,1/12/2018 3:00:00 PM,American Airlines,778,A18,4
D,1/12/2018 3:00:00 PM,American Airlines,5790,B17,4
D,1/12/2018 3:00:00 PM,Southwest Airlines,1956,C1,4
A,1/12/2018 3:00:00 PM,American Airlines,5838,B18,4
A,1/12/2018 3:03:00 PM,American Airlines,1977,A4,4
A,1/12/2018 3:04:00 PM,American Airlines,1455,A25,4
D,1/12/2018 3:05:00 PM,American Airlines,639,A20,4
D,1/12/2018 3:05:00 PM,American Airlines,1878,A8,4
D,1/12/2018 3:05:00 PM,American Airlines,478,A5,4
D,1/12/2018 3:05:00 PM,Southwest Airlines,5381,C7,4
A,1/12/2018 3:06:00 PM,American Airlines,533,B25,4
D,1/12/2018 3:10:00 PM,American Airlines,1826,A11,4
D,1/12/2018 3:10:00 PM,American Airlines,1618,A29,4
D,1/12/2018 3:10:00 PM,American Airlines,5907,A1,4
A,1/12/2018 3:10:00 PM,Southwest Airlines,6201,C8,4
A,1/12/2018 3:11:00 PM,Delta Air Lines,5764,15,3
D,1/11/2018 6:30:00 PM,American Airlines,9610,A13,4
D,1/12/2018 3:15:00 PM,Southwest Airlines,6267,C13,4
D,1/12/2018 3:15:00 PM,Southwest Airlines,6107,C19,4
A,1/12/2018 3:15:00 PM,American Airlines,5935,B21,4
A,1/12/2018 3:15:00 PM,United Airlines,607,3,2
A,1/12/2018 3:15:00 PM,Southwest Airlines,1795,D6,4
A,1/12/2018 3:16:00 PM,American Airlines,793,A10,4
D,1/12/2018 3:20:00 PM,Southwest Airlines,698,D3,4
A,1/12/2018 3:23:00 PM,American Airlines,1214,A27,4
A,1/12/2018 3:23:00 PM,American Airlines,5979,B16,4
D,1/12/2018 3:25:00 PM,Delta Air Lines,1769,17,3
D,1/12/2018 3:25:00 PM,Southwest Airlines,792,C16,4
A,1/12/2018 3:25:00 PM,American Airlines,5910,B2,4
A,1/12/2018 3:25:00 PM,Southwest Airlines,1665,C9,4
A,1/12/2018 3:25:00 PM,Southwest Airlines,5456,C2,4
A,1/12/2018 3:27:00 PM,American Airlines,548,A2,4
A,1/12/2018 3:27:00 PM,American Airlines,1543,B4,4
D,1/12/2018 3:29:00 PM,United Airlines,235,3,2
A,1/12/2018 3:29:00 PM,American Airlines,1712,A5,4
A,1/12/2018 3:29:00 PM,American Airlines,500,B12,4
A,1/12/2018 3:29:00 PM,American Airlines,985,A22,4
A,1/12/2018 3:30:00 PM,Southwest Airlines,5829,C18,4
D,1/12/2018 3:34:00 PM,Delta Air Lines,1166,16,3
A,1/12/2018 3:36:00 PM,American Airlines,634,A21,4
A,1/12/2018 3:38:00 PM,American Airlines,628,A20,4
A,1/12/2018 3:40:00 PM,Southwest Airlines,2107,D8,4
A,1/12/2018 3:40:00 PM,Southwest Airlines,6405,D1,4
A,1/12/2018 3:45:00 PM,American Airlines,429,A18,4
A,1/12/2018 3:45:00 PM,American Airlines,3030,A1,4
A,1/12/2018 3:45:00 PM,American Airlines,1469,B14,4
A,1/12/2018 3:45:00 PM,Southwest Airlines,1412,C11,4
D,1/12/2018 3:46:00 PM,Delta Air Lines,5781,15,3
A,1/12/2018 3:47:00 PM,American Airlines,2992,B1,4
D,1/12/2018 3:48:00 PM,United Airlines,1419,6A,2
A,1/12/2018 3:49:00 PM,American Airlines,5931,B5,4
D,1/12/2018 3:50:00 PM,American Airlines,623,A21,4
A,1/12/2018 3:50:00 PM,Southwest Airlines,151,C1,4
D,1/12/2018 3:55:00 PM,American Airlines,2063,A4,4
D,1/12/2018 3:55:00 PM,American Airlines,3176,B3,4
D,1/12/2018 3:55:00 PM,Southwest Airlines,1795,D6,4
A,1/12/2018 3:55:00 PM,Southwest Airlines,1496,C2,4
A,1/12/2018 3:58:00 PM,American Airlines,2973,B1A,4
A,1/12/2018 4:00:00 PM,Southwest Airlines,1739,D4,4
A,1/12/2018 4:03:00 PM,Delta Air Lines,2046,17,3
D,1/12/2018 4:05:00 PM,Southwest Airlines,6201,C8,4
D,1/12/2018 4:05:00 PM,Southwest Airlines,849,C2,4
A,1/12/2018 4:05:00 PM,Southwest Airlines,464,C17,4
D,1/12/2018 4:06:00 PM,United Airlines,1755,3,2
D,1/12/2018 4:10:00 PM,Southwest Airlines,1665,C9,4
D,1/12/2018 4:15:00 PM,American Airlines,551,A3,4
D,1/12/2018 4:15:00 PM,American Airlines,5928,B21,4
D,1/12/2018 4:15:00 PM,Southwest Airlines,2107,D8,4
D,1/12/2018 4:15:00 PM,Southwest Airlines,5829,C18,4
A,1/12/2018 4:17:00 PM,American Airlines,571,B27,4
D,1/12/2018 4:20:00 PM,American Airlines,574,B25,4
