Arrive Or Depart,Schedule,Airline,Flight Number,Gate,Terminal
A,1/2/2018 7:42:00 AM,American Airlines,5837,B2,4
D,1/2/2018 7:45:00 AM,American Airlines,549,A3,4
D,1/2/2018 7:45:00 AM,Southwest Airlines,823,C13,4
A,1/2/2018 7:45:00 AM,Southwest Airlines,706,C9,4
A,1/2/2018 7:47:00 AM,American Airlines,1107,A13,4
A,1/2/2018 7:48:00 AM,American Airlines,511,A17,4
A,1/2/2018 7:49:00 AM,American Airlines,5823,B9,4
A,1/2/2018 7:50:00 AM,American Airlines,5836,B24,4
D,1/2/2018 7:54:00 AM,Delta Air Lines,1769,19,3
A,1/2/2018 7:56:00 AM,American Airlines,1110,A25,4
A,1/2/2018 7:59:00 AM,American Airlines,697,A22,4
D,1/2/2018 8:00:00 AM,WestJet,1499,B23,4
D,1/2/2018 8:00:00 AM,Delta Air Lines,1747,17,3
D,1/2/2018 8:00:00 AM,Southwest Airlines,609,C14,4
D,1/2/2018 8:00:00 AM,Southwest Airlines,875,D8,4
D,1/2/2018 8:00:00 AM,Southwest Airlines,6185,C3,4
A,1/2/2018 8:03:00 AM,American Airlines,645,A20,4
D,1/2/2018 8:05:00 AM,Southwest Airlines,1218,C16,4
A,1/2/2018 8:05:00 AM,Southwest Airlines,6288,C17,4
D,1/2/2018 8:10:00 AM,American Airlines,832,A4,4
D,1/2/2018 8:10:00 AM,American Airlines,1969,A23,4
D,1/2/2018 8:10:00 AM,Alaska Airlines,637,10,2
A,1/2/2018 8:10:00 AM,Southwest Airlines,6778,D4,4
D,1/2/2018 8:17:00 AM,Delta Air Lines,5781,18,3
D,1/2/2018 8:19:00 AM,United Airlines,656,6A,2
D,1/2/2018 8:20:00 AM,American Airlines,1271,A13,4
D,1/2/2018 8:20:00 AM,American Airlines,1856,A6,4
D,1/2/2018 8:25:00 AM,American Airlines,1676,A7,4
D,1/2/2018 8:25:00 AM,American Airlines,1709,B12,4
D,1/2/2018 8:25:00 AM,Southwest Airlines,2100,C6,4
D,1/2/2018 8:25:00 AM,Southwest Airlines,1881,C9,4
A,1/2/2018 8:25:00 AM,Southwest Airlines,6909,C3,4
A,1/1/2018 10:29:00 AM,American Airlines,9818,HGR,4
D,1/2/2018 8:30:00 AM,American Airlines,670,A9,4
A,1/2/2018 8:30:00 AM,American Airlines,664,A24,4
